DRYBULBTEMPF,RelativeHumidity,WindSpeed,WindDirection,SeaLevelPressure,Precip,VISIBILITY
-1.285227408,0.361223531,-1.84448892,-1.825117859,0.572277567,-0.151494642,10.0
-1.342717774,0.511986169,-1.84448892,-1.825117859,0.572277567,-0.151494642,10.0
-1.227737042,0.411477744,-1.84448892,-1.825117859,0.572277567,-0.151494642,10.0
-1.285227408,0.361223531,-1.024952075,-1.546545858,0.444109201,-0.151494642,10.0
-1.285227408,0.361223531,-0.861044706,-1.639403192,0.230495258,-0.151494642,10.0
-1.227737042,-0.040810172,-0.697137337,-1.546545858,0.059604103,-0.151494642,10.0
-1.227737042,-0.040810172,-0.533229968,-1.639403192,-0.025841475,-0.151494642,10.0
-1.285227408,-0.19157281,-0.369322599,-1.453688525,-0.111287052,-0.151494642,10.0
-1.227737042,-0.442843874,-0.533229968,-1.546545858,-0.154009841,-0.151494642,10.0
-1.227737042,-0.442843874,-0.369322599,-1.546545858,-0.239455418,-0.151494642,10.0
-1.285227408,-0.19157281,-0.041507861,-1.546545858,-0.282178207,-0.151494642,10.0
-1.285227408,-0.342335449,0.286306877,-1.453688525,-0.324900996,-0.151494642,10.0
-1.227737042,-0.292081236,-0.20541523,-1.546545858,-0.324900996,-0.151494642,10.0
